"matching","Lake","LAKE","type","sample","layer","X_Coordinate","Y_Coordinate"
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample1","2004DEW5S11","epi",-78.1603,42.9914
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample2","2004DEW5S21","epi",-78.1603,42.9914
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample1","2004DEW5S12","hyp",-78.1603,42.9914
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample2","2004DEW5S22","hyp",-78.1603,42.9914
"0402MIL0016_Mill Pond","Mill Pond","0402MIL0016","Sample2","2004MIL0S21","epi",-78.0558,43.0839
"0402UWB5160_Avon Marsh Dam Pond","Avon Marsh Dam Pond","0402UWB5160","Sample1","2004UWB5S12","hyp",-77.6686,42.9011
"0402UWB5160_Avon Marsh Dam Pond","Avon Marsh Dam Pond","0402UWB5160","Sample1","2004UWB5S11","epi",-77.6686,42.9011
"0404NUN0084A_Nunda Reservoir","Nunda Reservoir","0404NUN0084A","Sample2","2004NUN0S22","hyp",-77.9165,42.5406
"0404NUN0084A_Nunda Reservoir","Nunda Reservoir","0404NUN0084A","Sample2","2004NUN0S21","epi",-77.9165,42.5406
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample4","20ONB109S42","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample3","20ONB109S31","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample3","20ONB109S32","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample2","20ONB109S22","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample5","20ONB109S52","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample2","20ONB109S21","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample5","20ONB109S51","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample4","20ONB109S41","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample4","20ONSHACKS41","epi",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample4","20ONSHACKS42","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample2","20ONSHACKS22","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample3","20ONSHACKS32","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample5","20ONSHACKS52","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample2","20ONSHACKS21","epi",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample5","20ONSHACKS51","epi",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample3","20ONSHACKS31","epi",-75.9264,43.1808
"0703ONE0026_Oneida Lake Three Mile Bay","Oneida Three Mile Bay","0703ONE0026_3MILE","Sample5","20ON3MILS51","epi",-76.0444,43.2211
"0703ONE0026_Oneida Lake Three Mile Bay","Oneida Three Mile Bay","0703ONE0026_3MILE","Sample2","20ON3MILS21","epi",-76.0444,43.2211
"0703ONE0026_Oneida Lake Three Mile Bay","Oneida Three Mile Bay","0703ONE0026_3MILE","Sample3","20ON3MILS31","epi",-76.0444,43.2211
"0703ONE0026_Oneida Lake Three Mile Bay","Oneida Three Mile Bay","0703ONE0026_3MILE","Sample4","20ON3MILS41","epi",-76.0444,43.2211
"0902BAR0262_Barnum Pond","Barnum Pond","0902BAR0262","Sample5","2009BAR0S51","epi",-74.2578,44.4606
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample1","2009BLA0S11","epi",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample5","2009BLA0S51","epi",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample5","2009BLA0S52","hyp",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample4","2009BLA0S42","hyp",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample1","2009BLA0S12","hyp",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample3","2009BLA0S31","epi",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample4","2009BLA0S41","epi",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample3","2009BLA0S32","hyp",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample2","2009BLA0S22","hyp",-74.7544,44.4894
"0903BLA0029A_Blake Falls Reservoir","Blake Falls Reservoir","0903BLA0029A","Sample2","2009BLA0S21","epi",-74.7544,44.4894
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample3","2009BLU0S31","epi",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample4","2009BLU0S42","hyp",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample3","2009BLU0S32","hyp",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample1","2009BLU0S11","epi",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample2","2009BLU0S21","epi",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample5","2009BLU0S51","epi",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample1","2009BLU0S12","hyp",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample2","2009BLU0S22","hyp",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample5","2009BLU0S52","hyp",-74.4573,43.8587
"0903BLU0307_Blue Mountain Lake","Blue Mountain Lake","0903BLU0307","Sample4","2009BLU0S41","epi",-74.4573,43.8587
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample4","2009EAG0S42","hyp",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample3","2009EAG0S32","hyp",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample5","2009EAG0S52","hyp",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample2","2009EAG0S21","epi",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample1","2009EAG0S12","hyp",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample1","2009EAG0S11","epi",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample3","2009EAG0S31","epi",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample2","2009EAG0S22","hyp",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample4","2009EAG0S41","epi",-74.4756,43.8493
"0903EAG0306_Eagle Lake","Eagle Lake","0903EAG0306","Sample5","2009EAG0S51","epi",-74.4756,43.8493
"0903EAT0248_Lake Eaton","Lake Eaton","0903EAT0248","Sample3","2009EAT0S31","epi",-74.466,43.978
"0903EAT0248_Lake Eaton","Lake Eaton","0903EAT0248","Sample3","2009EAT0S32","hyp",-74.466,43.978
"0903EAT0248_Lake Eaton","Lake Eaton","0903EAT0248","Sample4","2009EAT0S41","epi",-74.466,43.978
"0903EAT0248_Lake Eaton","Lake Eaton","0903EAT0248","Sample4","2009EAT0S42","hyp",-74.466,43.978
"0903EAT0248_Lake Eaton","Lake Eaton","0903EAT0248","Sample2","2009EAT0S22","hyp",-74.466,43.978
"0903EAT0248_Lake Eaton","Lake Eaton","0903EAT0248","Sample2","2009EAT0S21","epi",-74.466,43.978
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample5","2009FOL0S52","hyp",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample5","2009FOL0S52","hyp",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample1","2009FOL0S11","epi",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample1","2009FOL0S11","epi",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample3","2009FOL0S31","epi",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample3","2009FOL0S31","epi",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample5","2009FOL0S51","epi",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample5","2009FOL0S51","epi",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample2","2009FOL0S21","epi",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample2","2009FOL0S21","epi",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample3","2009FOL0S32","hyp",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample3","2009FOL0S32","hyp",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample2","2009FOL0S22","hyp",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample2","2009FOL0S22","hyp",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample4","2009FOL0S42","hyp",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample4","2009FOL0S42","hyp",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample4","2009FOL0S41","epi",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample4","2009FOL0S41","epi",-74.3731,44.1763
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample1","2009FOL0S12","hyp",-74.4464,44.2179
"0903FOL0186_Follensby Pond","Follensby Pond","0903FOL0186","Sample1","2009FOL0S12","hyp",-74.3731,44.1763
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample3","2009LSI0S32","hyp",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample4","2009LSI0S41","epi",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample4","2009LSI0S42","hyp",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample5","2009LSI0S51","epi",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample2","2009LSI0S22","hyp",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample1","2009LSI0S11","epi",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample1","2009LSI0S12","hyp",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample5","2009LSI0S52","hyp",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample3","2009LSI0S31","epi",-74.4419,44.1566
"0903LSI0182_Little Simon Pond","Little Simon Pond","0903LSI0182","Sample2","2009LSI0S21","epi",-74.4419,44.1566
"0905LOW0061_Lower Lake","Lower Lake","0905LOW0061","Sample5","2009LOW0S51","epi",-75.3066,44.5829
"0905LOW0061_Lower Lake","Lower Lake","0905LOW0061","Sample2","2009LOW0S21","epi",-75.3066,44.5829
"0905LOW0061_Lower Lake","Lower Lake","0905LOW0061","Sample4","2009LOW0S41","epi",-75.3066,44.5829
"0905LOW0061_Lower Lake","Lower Lake","0905LOW0061","Sample3","2009LOW0S31","epi",-75.3066,44.5829
"0905LOW0061_Lower Lake","Lower Lake","0905LOW0061","Sample1","2009LOW0S11","epi",-75.3066,44.5829
"0905MOO0071_Moon Lake","Moon Lake","0905MOO0071","Sample3","2009MOO0S32","hyp",-75.7342,44.2542
"0905MOO0071_Moon Lake","Moon Lake","0905MOO0071","Sample2","2009MOO0S22","hyp",-75.7342,44.2542
"0905MOO0071_Moon Lake","Moon Lake","0905MOO0071","Sample2","2009MOO0S21","epi",-75.7342,44.2542
"0905MOO0071_Moon Lake","Moon Lake","0905MOO0071","Sample3","2009MOO0S31","epi",-75.7342,44.2542
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample2","2009ROC0S22","hyp",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample3","2009ROC0S32","hyp",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample2","2009ROC0S21","epi",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample5","2009ROC0S51","epi",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample1","2009ROC0S12","hyp",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample3","2009ROC0S31","epi",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample1","2009ROC0S11","epi",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample4","2009ROC0S41","epi",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample4","2009ROC0S42","hyp",-75.1967,43.9959
"0905ROC0231_Rock Pond","Rock Pond","0905ROC0231","Sample5","2009ROC0S52","hyp",-75.1967,43.9959
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample3","2009SYL0S32","hyp",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample3","2009SYL0S31","epi",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample4","2009SYL0S41","epi",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample5","2009SYL0S51","epi",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample1","2009SYL0S11","epi",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample2","2009SYL0S22","hyp",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample5","2009SYL0S52","hyp",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample1","2009SYL0S12","hyp",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample2","2009SYL0S21","epi",-75.4112,44.2518
"0905SYL0088_Sylvia Lake","Sylvia Lake","0905SYL0088","Sample4","2009SYL0S42","hyp",-75.4112,44.2518
"0906HIC0004_Hickory Lake","Hickory Lake","0906HIC0004","Sample1","2009HIC0S11","epi",-75.5202,44.4611
"0906HIC0004_Hickory Lake","Hickory Lake","0906HIC0004","Sample2","2009HIC0S21","epi",-75.5202,44.4611
"0906HIC0004_Hickory Lake","Hickory Lake","0906HIC0004","Sample4","2009HIC0S41","epi",-75.5202,44.4611
"0906HIC0004_Hickory Lake","Hickory Lake","0906HIC0004","Sample3","2009HIC0S31","epi",-75.5202,44.4611
"0906HIC0004_Hickory Lake","Hickory Lake","0906HIC0004","Sample5","2009HIC0S51","epi",-75.5202,44.4611
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample5","2009MUD03S52","hyp",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample3","2009MUD03S32","hyp",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample5","2009MUD03S51","epi",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample3","2009MUD03S31","epi",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample1","2009MUD03S11","epi",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample1","2009MUD03S12","hyp",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample2","2009MUD03S21","epi",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample2","2009MUD03S22","hyp",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample4","2009MUD03S41","epi",-75.458,44.5001
"0906MUD0003_Mud Lake","Mud Lake","0906MUD0003","Sample4","2009MUD03S42","hyp",-75.458,44.5001
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample3","2009MUD05S31","epi",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample5","2009MUD05S51","epi",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample4","2009MUD05S42","hyp",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample3","2009MUD05S32","hyp",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample1","2009MUD05S11","epi",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample4","2009MUD05S41","epi",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample5","2009MUD05S52","hyp",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample2","2009MUD05S22","hyp",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample1","2009MUD05S12","hyp",-75.5998,44.3707
"0906MUD0005_Mud Lake","Mud Lake","0906MUD0005","Sample2","2009MUD05S21","epi",-75.5998,44.3707
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample5","2009MUS0S52","hyp",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample4","2009MUS0S42","hyp",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample3","2009MUS0S32","hyp",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample1","2009MUS0S11","epi",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample3","2009MUS0S31","epi",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample2","2009MUS0S21","epi",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample4","2009MUS0S41","epi",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample2","2009MUS0S22","hyp",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample5","2009MUS0S51","epi",-75.6866,44.3049
"0906MUS0008_Muskellunge Lake","Muskellunge Lake","0906MUS0008","Sample1","2009MUS0S12","hyp",-75.6866,44.3049
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample4","2009RED0S42","hyp",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample3","2009RED0S31","epi",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample4","2009RED0S41","epi",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample1","2009RED0S12","hyp",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample2","2009RED0S21","epi",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample5","2009RED0S51","epi",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample5","2009RED0S52","hyp",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample2","2009RED0S22","hyp",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample3","2009RED0S32","hyp",-75.7314,44.2702
"0906RED0010_Red Lake","Red Lake","0906RED0010","Sample1","2009RED0S11","epi",-75.7314,44.2702
"1005BUT0452 - Butler Pond","Butler Pond","1005BUT0452","Sample4","2010BUT0S42","hyp",-73.7357,43.3713
"1005BUT0452 - Butler Pond","Butler Pond","1005BUT0452","Sample4","2010BUT0S41","epi",-73.7357,43.3713
"1005BUT5350 - Rush Pond/Butler Storage Reservoir","Rush Pond/Butler Storage Reservoir","1005BUT5350","Sample4","2010BUT5S41","epi",-73.7274,43.3497
"1005BUT5350 - Rush Pond/Butler Storage Reservoir","Rush Pond/Butler Storage Reservoir","1005BUT5350","Sample4","2010BUT5S42","hyp",-73.7274,43.3497
"1005UWB0454 - Halfway Creek Reservoir","Halfway Creek Reservoir","1005UWB0454","Sample4","2010UWB0S42","hyp",-73.6823,43.3159
"1005UWB0454 - Halfway Creek Reservoir","Halfway Creek Reservoir","1005UWB0454","Sample4","2010UWB0S41","epi",-73.6823,43.3159
"1005WIL0455A - Wilkie Reservoir","Wilkie Reservoir","1005WIL0455A","Sample4","2010WIL0S41","epi",-73.7583,43.356
"1005WIL0455A - Wilkie Reservoir","Wilkie Reservoir","1005WIL0455A","Sample4","2010WIL0S42","hyp",-73.7583,43.356
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample4","2011MOR0S41","epi",-73.7119,43.2313
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample5","2011MOR0S51","epi",-73.7119,43.2313
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample3","2011MOR0S32","hyp",-73.7119,43.2313
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample5","2011MOR0S52","hyp",-73.7119,43.2313
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample3","2011MOR0S31","epi",-73.7119,43.2313
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample2","2011MOR0S22","hyp",-73.7119,43.2313
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample2","2011MOR0S21","epi",-73.7119,43.2313
"1101MOR0101_Moreau Lake","Moreau Lake","1101MOR0101","Sample4","2011MOR0S42","hyp",-73.7119,43.2313
"1203HIN0799 - Hinckley Reservoir","Hinckley Reservoir","1203HIN0799","Sample4","2012HIN0S42","hyp",-75.1074,43.3112
"1203HIN0799 - Hinckley Reservoir","Hinckley Reservoir","1203HIN0799","Sample4","2012HIN0S41","epi",-75.1074,43.3112
"1301MEL0331 - Melzing Reservoir","Melzing Reservoir","1301MEL0331","Sample4","2013MEL0S42","hyp",-73.9673,41.4721
"1301MEL0331 - Melzing Reservoir","Melzing Reservoir","1301MEL0331","Sample4","2013MEL0S41","epi",-73.9673,41.4721
"1301WIC0183A - Wiccopee Reservoir","Wiccopee Reservoir","1301WIC0183A","Sample4","2013WIC0S42","hyp",-73.8229,41.425
"1301WIC0183A - Wiccopee Reservoir","Wiccopee Reservoir","1301WIC0183A","Sample4","2013WIC0S41","epi",-73.8229,41.425
"1302CRO0059 - Croton Falls Reservoir","Croton Falls Reservoir","1302CRO0059","Sample4","2013CRO0S42","hyp",-73.6615,41.3925
"1302CRO0059 - Croton Falls Reservoir","Croton Falls Reservoir","1302CRO0059","Sample4","2013CRO0S41","epi",-73.6615,41.3925
"1305COL0404 - Cold Spring Reservoirs","Cold Spring","1305COL0404","Sample4","2013COL0S41","epi",-73.9392,41.4669
"1305COL0404 - Cold Spring Reservoirs","Cold Spring","1305COL0404","Sample4","2013COL0S42","hyp",-73.9392,41.4669
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample2","2013STU0S21","epi",-74.0396,41.8477
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample4","2013STU0S41","epi",-74.0396,41.8477
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample2","2013STU0S22","hyp",-74.0396,41.8477
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample5","2013STU0S51","epi",-74.0396,41.8477
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample3","2013STU0S31","epi",-74.0396,41.8477
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample3","2013STU0S32","hyp",-74.0396,41.8477
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample4","2013STU0S42","hyp",-74.0396,41.8477
"1306STU0453A_Sturgeon Pool","Sturgeon Pool","1306STU0453A","Sample5","2013STU0S52","hyp",-74.0396,41.8477
"1311WAT0270 - Watervliet Reservoir","Watervliet Reservoir","1311WAT0270","Sample4","2013WAT0S42","hyp",-73.9619,42.7108
"1311WAT0270 - Watervliet Reservoir","Watervliet Reservoir","1311WAT0270","Sample4","2013WAT0S41","epi",-73.9619,42.7108
"1401CHE0106_Chestnut Ridge Pond","Chestnut Ridge Pond","1401CHE0106","Sample1","2014CHE0S11","epi",-74.8878,41.6776
