"matching","Lake","LAKE","type","sample","layer","X_Coordinate","Y_Coordinate"
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample2","2004DEW5S21","epi",-78.1603,42.9914
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample2","2004DEW5S22","hyp",-78.1603,42.9914
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample1","2004DEW5S12","hyp",-78.1603,42.9914
"0402DEW5227_Dewitt Park Pond","Dewitt Park Pond","0402DEW5227","Sample1","2004DEW5S11","epi",-78.1603,42.9914
"0402UWB5160_Avon Marsh Dam Pond","Avon Marsh Dam Pond","0402UWB5160","Sample1","2004UWB5S12","hyp",-77.6686,42.9011
"0402UWB5160_Avon Marsh Dam Pond","Avon Marsh Dam Pond","0402UWB5160","Sample1","2004UWB5S11","epi",-77.6686,42.9011
"0404NUN0084A_Nunda Reservoir","Nunda Reservoir","0404NUN0084A","Sample2","2004NUN0S21","epi",-77.9165,42.5406
"0404NUN0084A_Nunda Reservoir","Nunda Reservoir","0404NUN0084A","Sample2","2004NUN0S22","hyp",-77.9165,42.5406
"0502MILXXX1_Mill Pond","Mill Pond","0502MILXXX1","Sample3","2005MILXS31","epi",-77.0971,42.3757
"0502MILXXX1_Mill Pond","Mill Pond","0502MILXXX1","Sample3","2005MILXS32","hyp",-77.0971,42.3757
"0602LUD0099_Lake Ludlow","Lake Ludlow","0602LUD0099","Sample3","2006LUD0S31","epi",-75.7088,42.4656
"0602LUD0099_Lake Ludlow","Lake Ludlow","0602LUD0099","Sample3","2006LUD0S32","hyp",-75.7088,42.4656
"0603CAY0008_Cayuta Lake","Cayuta Lake","0603CAY0008","Sample3","2006CAY0S32","hyp",-76.7354,42.367
"0603CAY0008_Cayuta Lake","Cayuta Lake","0603CAY0008","Sample3","2006CAY0S31","epi",-76.7354,42.367
"0603SPE0013_Spencer Lake","Spencer Lake","0603SPE0013","Sample3","2006SPE0S31","epi",-76.5003,42.2475
"0603SPE0013_Spencer Lake","Spencer Lake","0603SPE0013","Sample3","2006SPE0S32","hyp",-76.5003,42.2475
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample2","20ONB109S22","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample3","20ONB109S32","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample3","20ONB109S31","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample2","20ONB109S21","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample5","20ONB109S52","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample5","20ONB109S51","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample4","20ONB109S42","hyp",-75.7708,43.1861
"0703ONE0026_Oneida Lake Buoy 109","Oneida Buoy 109","0703ONE0026_B109","Sample4","20ONB109S41","epi",-75.7708,43.1861
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample5","20ONSHACKS52","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample3","20ONSHACKS32","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample2","20ONSHACKS22","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample4","20ONSHACKS42","hyp",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample4","20ONSHACKS41","epi",-75.9264,43.1808
"0703ONE0026_Oneida Lake Shackelton Point","Oneida Shackelton Point","0703ONE0026_SHACK","Sample2","20ONSHACKS21","epi",-75.9264,43.1808
